steelmaker,year,quarter,metric,source_type,reason_code
X,2018,FY,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2018,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2018,Q2,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2018,Q3,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2018,Q4,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2019,FY,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2019,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2019,Q2,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2019,Q3,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2019,Q4,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2020,FY,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2020,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2020,Q2,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2020,Q3,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2020,Q4,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2021,FY,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2021,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2021,Q2,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2021,Q3,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2021,Q4,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2022,FY,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2022,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2022,Q2,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2022,Q3,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2022,Q4,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2023,FY,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2023,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2023,Q2,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2023,Q3,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2023,Q4,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2024,FY,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2024,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2024,Q2,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2024,Q3,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2024,Q4,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
X,2025,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
